IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,CHANGE OF FLAG FOR BREAKING,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,COMMENT,Unnamed: 17,Unnamed: 18
9249099,ELKA ARISTOTLE,Products Tanker,55096,17843.0,2003,Liberia,Greece,European Navigation Inc,Greece,European Product Carriers Ltd,Rhonda Enterprises,Liberia,Gadani,Pakistan,2021-07-01,,,
9216925,ELKA ELEFTHERIA,Chemical/Products Tanker,27539,10176.0,2001,Liberia,,European Navigation Inc,Greece,Eleftheria Maritime,Eleftheria Maritime,Liberia,Gadani,Pakistan,2021-07-01,,,
9157428,ARA,Bulk Carrier,14397,5035.0,1998,Togo,Panama,FGM Chartering Ltd,Greece,FGM Chartering Ltd,MS Lara Maritime Ltd,Liberia,Aliaga,Turkey,2021-07-01,,,
9219018,WIN WIN,Bulk Carrier,84448,20980.0,2001,Marshall Islands,,Nicholas G Moundreas Shipping,Greece,Unimar Success SA,Delos Shipholding SA,Marshall Islands,Chittagong,Bangladesh,2021-07-01,,,
9138616,MAX,Bulk Carrier,16405,7674.0,1997,Comoros,Bahamas,Tide Line Inc,Greece,Oldendorff Carriers GmbH & Co,Amazon Navigation Co Ltd,Marshall Islands,Chittagong,Bangladesh,2021-07-01,,,
9114505,GLO,Chemical/Products Tanker,5998,3258.0,1995,St Kitts & Nevis,Liberia,Unknown,Hong Kong   ,Ruixin Shipping HK Ltd,Ruixin Shipping HK Ltd,Hong Kong,Alang,India,2021-07-01,,,
8308496,VIGHNAHARTA,Anchor Handling Tug Supply,1310,1230.0,1984,St Kitts & Nevis,India,Glory Shipmanagement Pvt Ltd,India,Glory Shipmanagement Pvt Ltd,Glory Shipmanagement Pvt Ltd,India,Alang,India,2021-07-01,,,
8216019,SEAMEC I,Platform Supply Ship,2557,2679.0,1983,India,,SEAMEC Ltd,India,SEAMEC Ltd,SEAMEC Ltd,India,Alang,India,2021-07-01,,,
8617055,SIMBA,Products Tanker,23669,10845.0,1996,Samoa False,,Shradha Shipmanagement Pvt Ltd,India,Shradha Shipmanagement Pvt Ltd,Neris Shipping Corp,Panama,Alang,India,2021-07-01,,,
9136242,TAG 18,Platform Supply Ship,1969,1452.0,1996,India,,Tag Offshore Ltd,India,Tag Offshore Ltd,Tag Offshore Ltd,India,Alang,India,2021-07-01,,,
7397024,GIAT,Cement Carrier,4454,,1975,Indonesia,,Indobaruna Bulk Transport PT,Indonesia,Indobaruna Bulk Transport PT,Indobaruna Bulk Transport PT,Indonesia,Bojonegara,Indonesia,2021-07-01,,,
9118575,MERAT,Container Ship (Fully Cellular),6349,3447.0,1996,Palau,Indonesia,Meratus Line PT,Indonesia,Meratus Line PT,Meratus Line PT,Indonesia,Chittagong,Bangladesh,2021-07-01,,,
8913502,WID A,Products Tanker,3358,2328.0,1989,St Kitts & Nevis,Marshall Islands,White Coast Shipping Inc,Iraq,Oil Marketing & Trading Intl,Elvira Shipping SA,Marshall Islands,Gadani,Pakistan,2021-07-01,,,
7018422,MAR GRANDE,Cement Carrier,2876,,1970,Italy,,Bruzia di Navigazione Srl,Italy,Bruzia di Navigazione Srl,Bruzia di Navigazione Srl,Italy,Genova,Italy,2021-07-01,,,
6807333,THEODOROS,Wine Tanker,634,,1967,Unknown,,Eurotec,Italy,Eurotec,Ivoire Shipping,Panama,Genova,Italy,2021-07-01,,,
